step	train/acc
0	0.9003333449363708
1	0.9554333090782166
2	0.9674833416938782
3	0.9732000231742859
4	0.9768166542053223
5	0.981083333492279
6	0.9828000068664551
7	0.98416668176651
8	0.9854166507720947
9	0.9865833520889282
