step	train/loss
0	0.329205721616745
1	0.14650137722492218
2	0.10443248599767685
3	0.08551209419965744
4	0.07277920097112656
5	0.060322001576423645
6	0.054666101932525635
7	0.048990655690431595
8	0.04514126479625702
9	0.04121803119778633
